Id,SalePrice
1461,131852.1
1462,157007.05
1463,184533.0
1464,173996.86
1465,207644.14
1466,179754.17
1467,168820.12
1468,168221.97
1469,180302.1
1470,118610.0
1471,213749.97
1472,97309.98
1473,97141.05
1474,154324.03
1475,149489.39
1476,375035.47
1477,256592.4
1478,294382.84
1479,201031.88
1480,515418.56
1481,301148.53
1482,199348.17
1483,158745.83
1484,181398.6
1485,175042.06
1486,193642.86
1487,330322.84
1488,227021.94
1489,230559.1
1490,228919.67
1491,185586.97
1492,84879.54
1493,155091.98
1494,290669.5
1495,307787.03
1496,227027.84
1497,190859.83
1498,159989.19
1499,158349.8
1500,152314.78
1501,178152.12
1502,168811.31
1503,275463.78
1504,251741.38
1505,239197.66
1506,191289.45
1507,233946.27
1508,211192.81
1509,173779.12
1510,142604.33
1511,149354.75
1512,167278.44
1513,175347.72
1514,156637.83
1515,188528.81
1516,152576.72
1517,158162.9
1518,118569.68
1519,213166.84
1520,135237.1
1521,138207.23
1522,181059.31
1523,108084.57
1524,123756.69
1525,123014.53
1526,125205.6
1527,105219.375
1528,130401.1
1529,150155.92
1530,155383.53
1531,114487.86
1532,92679.8
1533,154467.05
1534,121042.61
1535,152432.11
1536,122629.15
1537,80845.14
1538,173470.84
1539,135278.89
1540,86040.49
1541,150054.75
1542,151493.39
1543,237732.64
1544,89389.24
1545,120866.1
1546,124004.516
1547,134898.33
1548,144377.84
1549,103520.836
1550,140233.45
1551,109701.01
1552,133472.92
1553,139042.83
1554,112634.945
1555,169928.33
1556,93659.91
1557,127194.99
1558,85250.76
1559,131014.98
1560,127906.71
1561,164037.45
1562,130392.61
1563,126903.62
1564,151568.05
1565,145981.9
1566,239768.45
1567,79206.13
1568,203161.89
1569,157912.95
1570,130751.7
1571,135910.1
1572,145934.23
1573,227244.23
1574,71931.96
1575,248908.92
1576,238895.17
1577,210039.78
1578,142326.14
1579,137624.4
1580,186831.62
1581,156796.0
1582,136322.72
1583,341852.28
1584,236208.11
1585,137019.81
1586,67943.19
1587,95397.5
1588,156616.67
1589,111600.3
1590,144245.12
1591,99865.56
1592,122866.63
1593,129216.09
1594,145267.66
1595,119978.94
1596,253369.36
1597,174918.2
1598,188329.84
1599,201220.61
1600,188021.23
1601,62734.656
1602,123944.234
1603,88743.1
1604,283789.03
1605,261601.16
1606,173514.38
1607,159009.39
1608,214657.88
1609,198594.6
1610,170045.03
1611,138626.81
1612,155384.62
1613,154801.52
1614,123900.57
1615,91998.29
1616,71135.19
1617,84266.266
1618,133123.8
1619,144093.94
1620,129338.79
1621,132782.16
1622,153945.86
1623,321594.44
1624,204073.86
1625,124622.51
1626,159759.8
1627,186740.08
1628,299105.75
1629,178618.61
1630,406419.4
1631,228707.98
1632,255322.06
1633,174882.83
1634,175214.36
1635,191173.61
1636,152906.58
1637,179235.03
1638,198163.12
1639,180392.66
1640,269387.47
1641,170052.84
1642,240125.23
1643,233707.56
1644,235956.06
1645,205307.75
1646,151737.12
1647,165028.75
1648,117256.17
1649,138633.7
1650,118603.234
1651,118465.36
1652,90315.73
1653,99825.77
1654,153430.2
1655,164668.86
1656,148566.52
1657,155359.08
1658,144775.88
1659,166438.66
1660,137411.98
1661,463300.97
1662,420520.5
1663,375798.62
1664,442519.84
1665,294906.44
1666,350703.9
1667,439009.4
1668,298262.22
1669,272973.72
1670,304411.2
1671,260254.2
1672,497203.22
1673,279746.56
1674,252536.56
1675,172697.81
1676,172101.12
1677,224607.97
1678,497280.22
1679,432596.6
1680,337898.16
1681,276577.72
1682,305987.06
1683,180511.28
1684,164530.12
1685,170026.17
1686,168446.73
1687,166356.95
1688,181823.72
1689,186314.5
1690,189729.16
1691,177614.58
1692,282789.62
1693,175235.81
1694,187620.86
1695,165444.08
1696,274605.9
1697,167552.05
1698,377594.6
1699,382188.66
1700,232576.2
1701,247077.42
1702,264099.8
1703,239755.56
1704,305759.53
1705,211435.64
1706,510440.34
1707,247404.2
1708,233060.94
1709,278324.44
1710,230991.53
1711,275435.88
1712,253167.78
1713,262293.44
1714,224011.02
1715,202489.97
1716,171534.52
1717,154809.88
1718,136157.83
1719,198377.62
1720,251875.17
1721,153552.61
1722,124293.586
1723,157211.56
1724,203735.58
1725,236706.05
1726,195413.08
1727,149536.4
1728,183851.08
1729,164306.39
1730,160478.61
1731,126974.43
1732,133666.61
1733,114778.31
1734,121524.7
1735,127603.445
1736,109929.055
